date,units,cost
2025-01-01,80.5,603.62
2025-01-02,24.7,184.94
2025-01-03,19.7,147.42
2025-01-04,24.2,181.75
2025-01-05,17.8,133.7
2025-01-06,21.7,162.55
2025-01-07,23.4,175.81
2025-01-08,19.5,145.92
2025-01-09,19.7,147.69
2025-01-10,24.1,181.11
2025-01-11,73.6,551.8
2025-01-12,26.3,197.54
2025-01-13,22.0,165.04
2025-01-14,18.9,141.82
2025-01-15,19.0,142.25
2025-01-16,55.1,413.57
2025-01-17,19.1,143.16
2025-01-18,59.9,449.12
2025-01-19,17.9,134.57
2025-01-20,19.5,146.21
2025-01-21,82.6,619.23
2025-01-22,21.9,163.89
2025-01-23,24.9,186.58
2025-01-24,19.3,144.4
2025-01-25,21.0,157.64
2025-01-26,16.6,124.72
2025-01-27,24.0,179.66
2025-01-28,23.8,178.23
2025-01-29,20.9,157.1
2025-01-30,16.6,124.32
2025-01-31,22.2,166.74
2025-02-01,16.5,123.39
2025-02-02,16.0,120.17
2025-02-03,14.6,109.28
2025-02-04,11.9,89.49
2025-02-05,12.9,96.91
2025-02-06,16.1,120.42
2025-02-07,79.4,595.46
2025-02-08,14.4,108.07
2025-02-09,73.1,548.27
2025-02-10,73.0,547.67
2025-02-11,15.6,116.64
2025-02-12,10.5,78.72
2025-02-13,16.2,121.36
2025-02-14,13.0,97.29
2025-02-15,13.7,102.74
2025-02-16,14.2,106.51
2025-02-17,14.3,107.48
2025-02-18,12.5,93.91
2025-02-19,14.6,109.17
2025-02-20,18.3,136.88
2025-02-21,15.5,116.04
2025-02-22,17.5,131.55
2025-02-23,78.2,586.41
2025-02-24,14.2,106.42
2025-02-25,13.5,101.58
2025-02-26,14.2,106.14
2025-02-27,14.5,108.65
2025-02-28,73.6,552.03
2025-03-01,15.1,113.26
2025-03-02,16.1,120.78
2025-03-03,12.2,91.27
2025-03-04,12.2,91.69
2025-03-05,12.6,94.18
2025-03-06,13.0,97.28
2025-03-07,14.7,110.43
2025-03-08,14.9,111.55
2025-03-09,13.6,102.28
2025-03-10,17.7,132.6
2025-03-11,15.0,112.7
2025-03-12,14.9,111.62
2025-03-13,55.9,419.21
2025-03-14,13.9,104.32
2025-03-15,14.1,105.54
2025-03-16,12.7,95.4
2025-03-17,18.5,139.07
2025-03-18,13.1,97.93
2025-03-19,13.3,100.05
2025-03-20,14.3,107.44
2025-03-21,17.4,130.77
2025-03-22,68.6,514.75
2025-03-23,11.5,86.48
2025-03-24,14.8,111.1
2025-03-25,18.2,136.59
2025-03-26,15.7,117.86
2025-03-27,13.8,103.54
2025-03-28,15.3,114.6
2025-03-29,11.2,83.75
2025-03-30,16.6,124.35
2025-03-31,18.3,137.58
2025-04-01,33.4,283.67
2025-04-02,27.0,229.25
2025-04-03,31.1,264.68
2025-04-04,24.5,208.15
2025-04-05,29.3,248.75
2025-04-06,31.3,265.79
2025-04-07,24.7,209.74
2025-04-08,22.4,190.43
2025-04-09,30.1,255.78
2025-04-10,61.5,522.67
2025-04-11,32.4,275.73
2025-04-12,26.1,221.71
2025-04-13,67.4,573.08
2025-04-14,24.2,205.37
2025-04-15,82.6,701.8
2025-04-16,62.6,532.34
